algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.88,0.016025555786645954,0.28,0.28,0.28
0,1.95,0.03624478368153511,0.02,0.02,0.28
0,3.9,0.07329344942554207,0.29,0.28,0.28
0,7.52,0.1368079732748507,0.22,0.21,0.28
0,14.19,0.23578075308490412,0.27,0.26,0.28
0,28.18,0.3733800876443908,0.29,0.29,0.29
0,54.43,0.544659502606094,0.31,0.31,0.31
0,109.25,0.7400322032504546,0.32,0.32,0.32
0,221.01,0.9502789826513065,0.32,0.32,0.32
0,437.66,1.0,0.32,0.32,0.32
