algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
13,1.8,0.03624478368153511,0.32,0.32,0.32
13,5.07,0.07329344942554207,0.48,0.5,0.5
13,8.72,0.1368079732748507,0.52,0.53,0.53
13,13.91,0.23578075308490412,0.54,0.55,0.55
13,29.11,0.3733800876443908,0.55,0.56,0.56
13,54.23,0.544659502606094,0.56,0.57,0.57
13,107.13,0.7400322032504546,0.55,0.58,0.58
13,204.55,0.9502789826513065,0.53,0.57,0.58
13,411.73,1.0,0.53,0.55,0.58
