algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
13,1.67,0.03624478368153511,0.06,0.06,0.06
13,3.35,0.07329344942554207,0.1,0.1,0.1
13,6.35,0.1368079732748507,0.15,0.15,0.15
13,11.98,0.23578075308490412,0.21,0.21,0.21
13,22.91,0.3733800876443908,0.25,0.25,0.25
13,84.85,0.544659502606094,0.29,0.29,0.29
13,165.09,0.7400322032504546,0.29,0.29,0.29
13,323.44,0.9502789826513065,0.3,0.3,0.3
13,638.96,1.0,0.3,0.3,0.3
