algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
0,1.16,0.03624478368153511,0.03,0.03,0.03
0,3.06,0.07329344942554207,0.03,0.03,0.03
0,6.09,0.1368079732748507,0.03,0.05,0.05
0,20.65,0.23578075308490412,0.1,0.1,0.1
0,38.39,0.3733800876443908,0.14,0.14,0.14
0,72.67,0.544659502606094,0.17,0.17,0.17
0,141.67,0.7400322032504546,0.19,0.18,0.18
0,276.95,0.9502789826513065,0.19,0.18,0.18
0,545.28,1.0,0.19,0.19,0.19
