algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
7,2.45,0.03624478368153511,0.28,0.29,0.29
7,5.26,0.07329344942554207,0.4,0.4,0.4
7,10.81,0.1368079732748507,0.5,0.47,0.47
7,21.73,0.23578075308490412,0.56,0.53,0.53
7,43.03,0.3733800876443908,0.59,0.56,0.56
7,85.51,0.544659502606094,0.62,0.59,0.59
7,169.72,0.7400322032504546,0.64,0.62,0.62
7,340.41,0.9502789826513065,0.65,0.62,0.62
7,682.1,1.0,0.65,0.62,0.62
