algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.010770103848375623,0.0,0.0,0.0
12,0.0,0.021198241253833752,0.0,0.0,0.0
0,0.0,0.04111092807304064,0.0,0.0,0.0
0,0.0,0.077643959898352,0.0,0.0,0.0
0,0.0,0.14039772199759704,0.0,0.0,0.0
0,9.69,0.23844035254532855,-0.0,-0.05,0.0
0,30.29,0.3751318717367921,-0.02,0.0,0.0
12,0.0,0.5457005771345672,0.0,0.0,0.0
0,155.24,0.7406069343485431,0.09,0.09,0.09
0,320.64,0.950582128716898,0.16,0.11,0.11
0,644.64,1.0,0.17,0.12,0.12
