algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
9,0.0,0.03624478368153511,0.0,0.0,0.0
9,0.0,0.07329344942554207,0.0,0.0,0.0
9,0.0,0.1368079732748507,0.0,0.0,0.0
9,13.43,0.23578075308490412,0.09,0.1,0.1
9,32.87,0.3733800876443908,0.09,0.09,0.1
9,60.22,0.544659502606094,0.11,0.11,0.11
9,179.5,0.7400322032504546,0.15,0.15,0.15
9,318.17,0.9502789826513065,0.17,0.17,0.17
9,581.3,1.0,0.17,0.18,0.18
