algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
0,0.0,0.03624478368153511,0.0,0.0,0.0
0,0.0,0.07329344942554207,0.0,0.0,0.0
0,5.04,0.1368079732748507,0.15,0.13,0.13
0,14.4,0.23578075308490412,0.15,0.13,0.13
0,32.22,0.3733800876443908,0.2,0.18,0.18
0,67.95,0.544659502606094,0.25,0.23,0.23
0,137.88,0.7400322032504546,0.3,0.3,0.3
0,278.2,0.9502789826513065,0.34,0.34,0.34
0,560.29,1.0,0.39,0.36,0.36
