algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
7,0.0,0.03624478368153511,0.0,0.0,0.0
7,3.66,0.07329344942554207,-0.57,-0.55,0.0
7,7.39,0.1368079732748507,-0.16,-0.16,0.0
7,14.6,0.23578075308490412,0.05,0.05,0.05
7,29.08,0.3733800876443908,0.16,0.17,0.17
7,57.78,0.544659502606094,0.21,0.22,0.22
7,114.97,0.7400322032504546,0.24,0.24,0.24
7,229.87,0.9502789826513065,0.26,0.26,0.26
7,459.95,1.0,0.26,0.26,0.26
