algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
8,1.33,0.03624478368153511,0.14,0.12,0.12
8,3.93,0.07329344942554207,0.14,0.13,0.13
8,8.9,0.1368079732748507,0.14,0.14,0.14
8,18.69,0.23578075308490412,0.15,0.14,0.14
8,38.57,0.3733800876443908,0.17,0.15,0.15
8,77.88,0.544659502606094,0.19,0.17,0.17
8,156.47,0.7400322032504546,0.2,0.18,0.18
8,312.36,0.9502789826513065,0.2,0.18,0.18
8,622.6,1.0,0.2,0.18,0.18
