algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
2,1.04,0.03624478368153511,0.22,0.23,0.23
2,3.0,0.07329344942554207,0.19,0.19,0.23
2,6.69,0.1368079732748507,0.29,0.3,0.3
2,13.8,0.23578075308490412,0.32,0.32,0.32
2,27.5,0.3733800876443908,0.35,0.33,0.33
2,54.37,0.544659502606094,0.35,0.34,0.34
2,108.04,0.7400322032504546,0.36,0.35,0.35
2,214.88,0.9502789826513065,0.36,0.36,0.36
2,427.95,1.0,0.36,0.36,0.36
