algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
2,1.48,0.03624478368153511,0.55,0.57,0.57
2,3.05,0.07329344942554207,0.62,0.64,0.64
2,6.01,0.1368079732748507,0.7,0.71,0.71
2,11.89,0.23578075308490412,0.74,0.74,0.74
2,23.45,0.3733800876443908,0.74,0.73,0.74
2,46.38,0.544659502606094,0.75,0.74,0.74
2,92.44,0.7400322032504546,0.74,0.74,0.74
2,182.46,0.9502789826513065,0.74,0.74,0.74
2,362.77,1.0,0.73,0.74,0.74
