algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
13,0.0,0.03624478368153511,0.0,0.0,0.0
13,2.48,0.07329344942554207,0.42,0.42,0.42
13,6.96,0.1368079732748507,0.42,0.43,0.43
13,15.44,0.23578075308490412,0.46,0.46,0.46
13,31.97,0.3733800876443908,0.47,0.48,0.48
13,64.55,0.544659502606094,0.5,0.49,0.49
13,128.96,0.7400322032504546,0.53,0.53,0.53
13,256.22,0.9502789826513065,0.57,0.55,0.55
13,507.61,1.0,0.58,0.56,0.56
