algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
13,0.0,0.03624478368153511,0.0,0.0,0.0
13,0.0,0.07329344942554207,0.0,0.0,0.0
13,6.21,0.1368079732748507,0.31,0.32,0.32
13,18.53,0.23578075308490412,0.39,0.4,0.4
13,42.83,0.3733800876443908,0.45,0.46,0.46
13,90.86,0.544659502606094,0.49,0.5,0.5
13,186.28,0.7400322032504546,0.54,0.55,0.55
13,376.18,0.9502789826513065,0.57,0.58,0.58
13,754.92,1.0,0.59,0.6,0.6
