algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.83,0.016025555786645954,0.25,0.24,0.24
0,2.65,0.03624478368153511,0.46,0.47,0.47
0,4.63,0.07329344942554207,0.56,0.54,0.54
0,8.07,0.1368079732748507,0.63,0.63,0.63
0,14.64,0.23578075308490412,0.7,0.68,0.68
0,27.13,0.3733800876443908,0.74,0.7,0.7
0,51.76,0.544659502606094,0.75,0.73,0.73
0,101.92,0.7400322032504546,0.76,0.74,0.74
0,201.23,0.9502789826513065,0.76,0.74,0.74
0,397.13,1.0,0.76,0.74,0.74
