algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
0,0.0,0.03624478368153511,0.0,0.0,0.0
0,0.0,0.07329344942554207,0.0,0.0,0.0
0,0.0,0.1368079732748507,0.0,0.0,0.0
0,9.69,0.23578075308490412,-0.0,-0.05,0.0
0,30.29,0.3733800876443908,-0.02,0.0,0.0
0,72.91,0.544659502606094,0.02,0.03,0.03
0,155.24,0.7400322032504546,0.09,0.09,0.09
0,320.64,0.9502789826513065,0.16,0.11,0.11
0,644.64,1.0,0.17,0.12,0.12
