algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.57,0.016025555786645954,0.26,0.26,0.26
0,1.64,0.03624478368153511,0.22,0.26,0.26
0,3.68,0.07329344942554207,0.28,0.3,0.3
0,7.55,0.1368079732748507,0.36,0.37,0.37
0,15.35,0.23578075308490412,0.44,0.43,0.43
0,30.92,0.3733800876443908,0.47,0.45,0.45
0,63.52,0.544659502606094,0.47,0.48,0.48
0,128.06,0.7400322032504546,0.5,0.48,0.48
0,255.01,0.9502789826513065,0.52,0.48,0.48
0,510.04,1.0,0.51,0.47,0.48
