algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
0,1.62,0.03624478368153511,0.26,0.27,0.27
0,4.9,0.07329344942554207,0.42,0.44,0.44
0,10.97,0.1368079732748507,0.58,0.61,0.61
0,23.12,0.23578075308490412,0.75,0.76,0.76
0,47.55,0.3733800876443908,0.83,0.85,0.85
0,95.81,0.544659502606094,0.88,0.88,0.88
0,193.27,0.7400322032504546,0.89,0.9,0.9
0,389.49,0.9502789826513065,0.9,0.91,0.91
0,782.5,1.0,0.9,0.91,0.91
