algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
13,0.0,0.03624478368153511,0.0,0.0,0.0
13,0.0,0.07329344942554207,0.0,0.0,0.0
13,6.15,0.1368079732748507,0.03,0.03,0.03
13,15.01,0.23578075308490412,0.1,0.1,0.1
13,29.23,0.3733800876443908,0.19,0.18,0.18
13,53.41,0.544659502606094,0.31,0.31,0.31
13,99.09,0.7400322032504546,0.41,0.42,0.42
13,353.39,0.9502789826513065,0.5,0.5,0.5
13,677.3,1.0,0.5,0.5,0.5
