algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.55,0.016025555786645954,0.52,0.51,0.51
0,2.1,0.03624478368153511,0.63,0.62,0.62
0,4.18,0.07329344942554207,0.67,0.64,0.64
0,8.36,0.1368079732748507,0.67,0.66,0.66
0,16.39,0.23578075308490412,0.67,0.65,0.66
0,32.19,0.3733800876443908,0.69,0.66,0.66
0,64.25,0.544659502606094,0.69,0.66,0.66
0,127.56,0.7400322032504546,0.69,0.66,0.66
0,253.67,0.9502789826513065,0.69,0.66,0.66
0,512.94,1.0,0.69,0.67,0.67
