algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
13,1.5,0.03624478368153511,0.45,0.46,0.46
13,5.32,0.07329344942554207,0.49,0.48,0.48
13,10.12,0.1368079732748507,0.49,0.49,0.49
13,19.41,0.23578075308490412,0.48,0.5,0.5
13,37.54,0.3733800876443908,0.49,0.52,0.52
13,73.3,0.544659502606094,0.5,0.53,0.53
13,144.32,0.7400322032504546,0.51,0.52,0.53
13,286.07,0.9502789826513065,0.51,0.53,0.53
13,569.24,1.0,0.51,0.54,0.54
