algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
13,2.24,0.03624478368153511,0.87,0.87,0.87
13,4.21,0.07329344942554207,0.88,0.88,0.88
13,8.09,0.1368079732748507,0.88,0.88,0.88
13,15.81,0.23578075308490412,0.89,0.89,0.89
13,31.19,0.3733800876443908,0.88,0.9,0.9
13,60.29,0.544659502606094,0.89,0.9,0.9
13,111.83,0.7400322032504546,0.89,0.9,0.9
13,208.39,0.9502789826513065,0.89,0.9,0.9
13,395.17,1.0,0.89,0.9,0.9
