algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.55,0.016025555786645954,0.34,0.34,0.34
0,1.55,0.03624478368153511,0.37,0.37,0.37
0,3.43,0.07329344942554207,0.4,0.4,0.4
0,7.08,0.1368079732748507,0.46,0.47,0.47
0,14.19,0.23578075308490412,0.52,0.5,0.5
0,28.15,0.3733800876443908,0.54,0.51,0.51
0,56.29,0.544659502606094,0.55,0.53,0.53
0,112.28,0.7400322032504546,0.56,0.54,0.54
0,223.62,0.9502789826513065,0.56,0.55,0.55
0,446.01,1.0,0.57,0.55,0.55
