algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
0,0.0,0.03624478368153511,0.0,0.0,0.0
0,0.0,0.07329344942554207,0.0,0.0,0.0
0,5.19,0.1368079732748507,0.3,0.31,0.31
0,15.04,0.23578075308490412,0.37,0.4,0.4
0,34.86,0.3733800876443908,0.45,0.46,0.46
0,73.53,0.544659502606094,0.49,0.5,0.5
0,150.41,0.7400322032504546,0.52,0.52,0.52
0,304.07,0.9502789826513065,0.53,0.54,0.54
0,611.1,1.0,0.54,0.55,0.55
