algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.46,0.016025555786645954,-0.66,-0.66,0.0
0,2.08,0.03624478368153511,0.01,0.0,0.0
0,4.0,0.07329344942554207,0.12,0.12,0.12
0,7.78,0.1368079732748507,0.19,0.18,0.18
0,15.26,0.23578075308490412,0.22,0.22,0.22
0,30.12,0.3733800876443908,0.23,0.23,0.23
0,59.88,0.544659502606094,0.24,0.24,0.24
0,119.24,0.7400322032504546,0.24,0.24,0.24
0,237.74,0.9502789826513065,0.24,0.24,0.24
0,474.47,1.0,0.24,0.24,0.24
