algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
15,1.54,0.03624478368153511,0.02,0.02,0.02
15,4.46,0.07329344942554207,0.04,0.04,0.04
15,10.08,0.1368079732748507,0.07,0.07,0.07
15,21.01,0.23578075308490412,0.1,0.1,0.1
15,42.68,0.3733800876443908,0.15,0.15,0.15
15,85.65,0.544659502606094,0.2,0.2,0.2
15,171.13,0.7400322032504546,0.26,0.26,0.26
15,341.03,0.9502789826513065,0.29,0.3,0.3
15,679.74,1.0,0.31,0.3,0.3
