algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
9,0.0,0.03624478368153511,0.0,0.0,0.0
9,2.98,0.07329344942554207,0.26,0.24,0.24
9,8.93,0.1368079732748507,0.21,0.19,0.24
9,20.5,0.23578075308490412,0.31,0.3,0.3
9,42.83,0.3733800876443908,0.34,0.32,0.32
9,86.56,0.544659502606094,0.36,0.33,0.33
9,174.83,0.7400322032504546,0.36,0.34,0.34
9,351.66,0.9502789826513065,0.36,0.35,0.35
9,704.18,1.0,0.36,0.35,0.35
