algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
9,1.6,0.03624478368153511,0.58,0.56,0.56
9,3.22,0.07329344942554207,0.62,0.6,0.6
9,6.61,0.1368079732748507,0.61,0.61,0.61
9,13.18,0.23578075308490412,0.62,0.61,0.61
9,26.67,0.3733800876443908,0.62,0.61,0.61
9,54.35,0.544659502606094,0.62,0.61,0.61
9,109.53,0.7400322032504546,0.61,0.62,0.62
9,220.8,0.9502789826513065,0.61,0.62,0.62
9,443.59,1.0,0.62,0.61,0.62
