algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.61,0.016025555786645954,0.09,0.08,0.08
0,2.36,0.03624478368153511,0.22,0.22,0.22
0,4.55,0.07329344942554207,0.25,0.24,0.24
0,8.83,0.1368079732748507,0.26,0.26,0.26
0,17.35,0.23578075308490412,0.27,0.27,0.27
0,34.32,0.3733800876443908,0.27,0.27,0.27
0,67.93,0.544659502606094,0.28,0.27,0.27
0,134.97,0.7400322032504546,0.28,0.27,0.27
0,268.82,0.9502789826513065,0.28,0.27,0.27
0,537.58,1.0,0.28,0.27,0.27
